"";"off";"game";"psr_name";"drpbk";"atts";"air";"adot";"yds";"pacr";"td";"int";"sk";"aya";"anya";"TOTAL DVOA";"TOTAL DAVE";"RANK";"W-L";"OFF. DVOA";"OFF. RANK";"DEF. DVOA";"DEF. RANK";"S.T. DVOA";"S.T. RANK"
"1";"ARI";"2019 W01 vs DET";"QB Kyler Murray";59;54;570;10,5555555555556;308;0,540350877192982;2;1;5;5,61111111111111;4,57627118644068;-0,204;-0,134;27;"0-0-1";-0,27;25;0,034;18;0,1;1
"2";"DET";"2019 W01 at ARI";"QB Matthew Stafford";48;45;518;11,5111111111111;385;0,743243243243243;3;0;3;9,88888888888889;8,77083333333333;0,034;0,022;15;"0-0-1";-0,037;15;-0,248;8;-0,177;30
"3";"PIT";"2019 W01 at NE";"QB Ben Roethlisberger";48;47;465;9,8936170212766;276;0,593548387096774;0;1;1;4,91489361702128;4,8125;-0,838;0,039;12;"0-1";-0,471;31;0,334;28;-0,033;22
"4";"MIA";"2019 W01 vs BAL";"QB Ryan Fitzpatrick";31;29;402;13,8620689655172;185;0,460199004975124;1;1;2;5,51724137931035;5;-0,947;-0,37;32;"0-1";-0,418;28;0,561;31;0,033;12
"5";"CHI";"2019 W01 vs GB";"QB Mitchell Trubisky";50;45;390;8,66666666666667;228;0,584615384615385;0;1;5;4,06666666666667;3,26;-0,077;0,015;17;"0-1";-0,42;29;-0,295;6;0,048;9
"6";"CIN";"2019 W01 at SEA";"QB Andy Dalton";56;51;381;7,47058823529412;418;1,09711286089239;2;0;5;8,98039215686275;7,76785714285714;-0,106;-0,117;26;"0-1";-0,199;21;-0,184;13;-0,091;29
"7";"ATL";"2019 W01 at MIN";"QB Matt Ryan";50;46;360;7,82608695652174;304;0,844444444444444;2;2;4;5,52173913043478;4,44;-0,558;-0,059;22;"0-1";-0,426;30;0,071;19;-0,06;25
"8";"BUF";"2019 W01 at NYJ";"QB Josh Allen";38;37;346;9,35135135135135;254;0,734104046242775;1;2;1;4,97297297297297;4,52631578947368;0,042;-0,091;24;"36526";-0,217;23;-0,248;9;0,011;17
"9";"PHI";"2019 W01 vs WAS";"QB Carson Wentz";40;39;343;8,7948717948718;313;0,912536443148688;3;0;1;9,56410256410256;9,325;0,002;0,071;10;"36526";0,324;8;0,37;29;0,049;8
"10";"CLE";"2019 W01 vs TEN";"QB Baker Mayfield";43;38;343;9,02631578947368;285;0,830903790087464;1;3;5;4,47368421052632;3;-0,398;-0,045;20;"0-1";-0,319;26;0,138;20;0,058;4
"11";"HOU";"2019 W01 at NO";"QB Deshaun Watson";36;30;340;11,3333333333333;268;0,788235294117647;3;1;6;9,43333333333333;6,91666666666667;-0,053;0,055;11;"0-1";0,191;13;0,229;24;-0,015;21
"12";"WAS";"2019 W01 at PHI";"QB Case Keenum";46;45;329;7,31111111111111;380;1,15501519756839;3;0;1;9,77777777777778;9,34782608695652;0,214;-0,136;28;"0-1";0,395;4;0,192;22;0,011;16
"13";"TB";"2019 W01 vs SF";"QB Jameis Winston";39;36;323;8,97222222222222;194;0,60061919504644;1;3;3;2,19444444444444;1,51282051282051;-0,444;-0,167;30;"0-1";-0,657;32;-0,299;5;-0,086;27
"14";"NO";"2019 W01 vs HOU";"QB Drew Brees";44;43;312;7,25581395348837;370;1,18589743589744;2;1;1;8,48837209302326;8,11363636363636;-0,04;0,187;2;"36526";0,22;12;0,308;26;0,047;11
"15";"GB";"2019 W01 at CHI";"QB Aaron Rodgers";35;30;310;10,3333333333333;203;0,654838709677419;1;0;5;7,43333333333333;5,31428571428571;0,125;0,038;13;"36526";-0,328;27;-0,403;3;0,05;7
"16";"DAL";"2019 W01 vs NYG";"QB Dak Prescott";32;32;301;9,40625;405;1,34551495016611;4;0;0;15,15625;15,15625;0,606;0,107;7;"36526";0,59;1;0,004;17;0,02;14
