"";"off";"TOTAL DVOA";"TOTAL DAVE";"RANK";"W-L";"OFF. DVOA";"OFF. RANK";"DEF. DVOA";"DEF. RANK";"S.T. DVOA";"S.T. RANK"
"1";"TB";-0,444;-0,167;30;"0-1";-0,657;32;-0,299;5;-0,086;27
"2";"PIT";-0,838;0,039;12;"0-1";-0,471;31;0,334;28;-0,033;22
"3";"ATL";-0,558;-0,059;22;"0-1";-0,426;30;0,071;19;-0,06;25
"4";"CHI";-0,077;0,015;17;"0-1";-0,42;29;-0,295;6;0,048;9
"5";"MIA";-0,947;-0,37;32;"0-1";-0,418;28;0,561;31;0,033;12
"6";"GB";0,125;0,038;13;"36526";-0,328;27;-0,403;3;0,05;7
"7";"CLE";-0,398;-0,045;20;"0-1";-0,319;26;0,138;20;0,058;4
"8";"ARI";-0,204;-0,134;27;"0-0-1";-0,27;25;0,034;18;0,1;1
"9";"SF";0,319;0,015;16;"36526";-0,259;24;-0,587;1;-0,009;19
"10";"BUF";0,042;-0,091;24;"36526";-0,217;23;-0,248;9;0,011;17
"11";"NYJ";-0,097;-0,055;21;"0-1";-0,2;22;-0,191;12;-0,088;28
"12";"CIN";-0,106;-0,117;26;"0-1";-0,199;21;-0,184;13;-0,091;29
"13";"SEA";0,109;0,085;9;"36526";-0,166;20;-0,224;10;0,051;6
"14";"NYG";-0,736;-0,169;31;"0-1";-0,141;19;0,584;32;-0,01;20
"15";"CAR";-0,106;0,001;18;"0-1";-0,074;18;-0,009;16;-0,041;23
"16";"MIN";0,128;0,022;14;"36526";-0,049;17;-0,222;11;-0,044;24
"17";"DEN";-0,443;-0,144;29;"0-1";-0,038;16;0,328;27;-0,077;26
"18";"DET";0,034;0,022;15;"0-0-1";-0,037;15;-0,248;8;-0,177;30
"19";"LAR";-0,013;0,131;6;"36526";0,05;14;-0,158;14;-0,221;32
"20";"HOU";-0,053;0,055;11;"0-1";0,191;13;0,229;24;-0,015;21
"21";"NO";-0,04;0,187;2;"36526";0,22;12;0,308;26;0,047;11
"22";"LAC";0,026;0,148;5;"36526";0,229;11;0,22;23;0,017;15
"23";"TEN";0,662;0,106;8;"36526";0,236;10;-0,373;4;0,052;5
"24";"IND";-0,082;-0,072;23;"0-1";0,308;9;0,173;21;-0,217;31
"25";"PHI";0,002;0,071;10;"36526";0,324;8;0,37;29;0,049;8
"26";"JAX";-0,058;-0,107;25;"0-1";0,327;7;0,406;30;0,021;13
"27";"OAK";0,504;-0,028;19;"36526";0,338;6;-0,07;15;0,096;2
"28";"NE";0,727;0,24;1;"36526";0,387;5;-0,293;7;0,048;10
"29";"WAS";0,214;-0,136;28;"0-1";0,395;4;0,192;22;0,011;16
"30";"KC";0,223;0,159;4;"36526";0,515;3;0,302;25;0,009;18
"31";"BAL";1,193;0,164;3;"36526";0,552;2;-0,568;2;0,072;3
"32";"DAL";0,606;0,107;7;"36526";0,59;1;0,004;17;0,02;14
