id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier
501,Buffalo,Bills,BUF,DST,NA,49,DST,average,8.144,8,0.507,NA,8.144,8.144,8
501,Buffalo,Bills,BUF,DST,NA,49,DST,robust,8.144,8,0.507,0,8.144,8.144,8
501,Buffalo,Bills,BUF,DST,NA,49,DST,weighted,8.144,8,0.507,NA,8.144,8.144,8
502,Indianapolis,Colts,IND,DST,NA,49,DST,average,7.63,10,0.055,NA,7.63,7.63,10
502,Indianapolis,Colts,IND,DST,NA,49,DST,robust,7.63,10,0.055,0,7.63,7.63,10
502,Indianapolis,Colts,IND,DST,NA,49,DST,weighted,7.63,10,0.055,Inf,7.63,7.63,10
503,Miami,Dolphins,MIA,DST,NA,49,DST,average,4.234,32,NA,NA,4.234,4.234,32
503,Miami,Dolphins,MIA,DST,NA,49,DST,robust,4.234,32,NA,0,4.234,4.234,32
503,Miami,Dolphins,MIA,DST,NA,49,DST,weighted,4.234,32,NA,NA,4.234,4.234,32
504,New England,Patriots,NEP,DST,NA,49,DST,average,7.622,11,0.127,NA,7.622,7.622,11
504,New England,Patriots,NEP,DST,NA,49,DST,robust,7.622,11,0.127,0,7.622,7.622,11
504,New England,Patriots,NEP,DST,NA,49,DST,weighted,7.622,11,0.127,NA,7.622,7.622,11
505,New York,Jets,NYJ,DST,NA,49,DST,average,8.16,7,0.266,NA,8.16,8.16,7
505,New York,Jets,NYJ,DST,NA,49,DST,robust,8.16,7,0.266,0,8.16,8.16,7
505,New York,Jets,NYJ,DST,NA,49,DST,weighted,8.16,7,0.266,NA,8.16,8.16,7
506,Cincinnati,Bengals,CIN,DST,NA,49,DST,average,8.29,5,0.106,NA,8.29,8.29,5
506,Cincinnati,Bengals,CIN,DST,NA,49,DST,robust,8.29,5,0.106,0,8.29,8.29,5
506,Cincinnati,Bengals,CIN,DST,NA,49,DST,weighted,8.29,5,0.106,NA,8.29,8.29,5
507,Cleveland,Browns,CLE,DST,NA,49,DST,average,8.208,6,0.056,NA,8.208,8.208,6
507,Cleveland,Browns,CLE,DST,NA,49,DST,robust,8.208,6,0.056,0,8.208,8.208,6
507,Cleveland,Browns,CLE,DST,NA,49,DST,weighted,8.208,6,0.056,NA,8.208,8.208,6
508,Tennessee,Titans,TEN,DST,NA,49,DST,average,5.334,30,1.052,NA,5.334,5.334,30
508,Tennessee,Titans,TEN,DST,NA,49,DST,robust,5.334,30,1.052,0,5.334,5.334,30
508,Tennessee,Titans,TEN,DST,NA,49,DST,weighted,5.334,30,1.052,NA,5.334,5.334,30
509,Jacksonville,Jaguars,JAC,DST,NA,49,DST,average,7.462,13,0.18,NA,7.462,7.462,13
509,Jacksonville,Jaguars,JAC,DST,NA,49,DST,robust,7.462,13,0.18,0,7.462,7.462,13
509,Jacksonville,Jaguars,JAC,DST,NA,49,DST,weighted,7.462,13,0.18,Inf,7.462,7.462,13
510,Pittsburgh,Steelers,PIT,DST,NA,49,DST,average,6.374,24,0.174,NA,6.374,6.374,24
510,Pittsburgh,Steelers,PIT,DST,NA,49,DST,robust,6.374,24,0.174,0,6.374,6.374,24
510,Pittsburgh,Steelers,PIT,DST,NA,49,DST,weighted,6.374,24,0.174,Inf,6.374,6.374,24
511,Denver,Broncos,DEN,DST,NA,49,DST,average,7.644,9,0.018,NA,7.644,7.644,9
511,Denver,Broncos,DEN,DST,NA,49,DST,robust,7.644,9,0.018,0,7.644,7.644,9
511,Denver,Broncos,DEN,DST,NA,49,DST,weighted,7.644,9,0.018,NA,7.644,7.644,9
512,Kansas City,Chiefs,KCC,DST,NA,49,DST,average,8.428,4,0.179,NA,8.428,8.428,4
512,Kansas City,Chiefs,KCC,DST,NA,49,DST,robust,8.428,4,0.179,0,8.428,8.428,4
512,Kansas City,Chiefs,KCC,DST,NA,49,DST,weighted,8.428,4,0.179,NA,8.428,8.428,4
513,Oakland,Raiders,OAK,DST,NA,49,DST,average,4.33,31,NA,NA,4.33,4.33,31
513,Oakland,Raiders,OAK,DST,NA,49,DST,robust,4.33,31,NA,0,4.33,4.33,31
513,Oakland,Raiders,OAK,DST,NA,49,DST,weighted,4.33,31,NA,NA,4.33,4.33,31
514,Los Angeles,Chargers,LAC,DST,NA,49,DST,average,7.094,17,0.229,NA,7.094,7.094,17
514,Los Angeles,Chargers,LAC,DST,NA,49,DST,robust,7.094,17,0.229,0,7.094,7.094,17
514,Los Angeles,Chargers,LAC,DST,NA,49,DST,weighted,7.094,17,0.229,NA,7.094,7.094,17
515,Seattle,Seahawks,SEA,DST,NA,49,DST,average,7.276,15,0.107,NA,7.276,7.276,15
515,Seattle,Seahawks,SEA,DST,NA,49,DST,robust,7.276,15,0.107,0,7.276,7.276,15
515,Seattle,Seahawks,SEA,DST,NA,49,DST,weighted,7.276,15,0.107,NA,7.276,7.276,15
516,Dallas,Cowboys,DAL,DST,NA,49,DST,average,6.632,21,0.134,NA,6.632,6.632,21
516,Dallas,Cowboys,DAL,DST,NA,49,DST,robust,6.632,21,0.134,0,6.632,6.632,21
516,Dallas,Cowboys,DAL,DST,NA,49,DST,weighted,6.632,21,0.134,Inf,6.632,6.632,21
517,New York,Giants,NYG,DST,NA,49,DST,average,6.714,20,0.088,NA,6.714,6.714,20
517,New York,Giants,NYG,DST,NA,49,DST,robust,6.714,20,0.088,0,6.714,6.714,20
517,New York,Giants,NYG,DST,NA,49,DST,weighted,6.714,20,0.088,Inf,6.714,6.714,20
518,Philadelphia,Eagles,PHI,DST,NA,49,DST,average,5.836,28,0.404,NA,5.836,5.836,28
518,Philadelphia,Eagles,PHI,DST,NA,49,DST,robust,5.836,28,0.404,0,5.836,5.836,28
518,Philadelphia,Eagles,PHI,DST,NA,49,DST,weighted,5.836,28,0.404,NA,5.836,5.836,28
519,Arizona,Cardinals,ARI,DST,NA,49,DST,average,6.376,23,0.063,NA,6.376,6.376,23
519,Arizona,Cardinals,ARI,DST,NA,49,DST,robust,6.376,23,0.063,0,6.376,6.376,23
519,Arizona,Cardinals,ARI,DST,NA,49,DST,weighted,6.376,23,0.063,NA,6.376,6.376,23
520,Washington,Redskins,WAS,DST,NA,49,DST,average,6.812,19,0.139,NA,6.812,6.812,19
520,Washington,Redskins,WAS,DST,NA,49,DST,robust,6.812,19,0.139,0,6.812,6.812,19
520,Washington,Redskins,WAS,DST,NA,49,DST,weighted,6.812,19,0.139,Inf,6.812,6.812,19
521,Chicago,Bears,CHI,DST,NA,49,DST,average,7.288,14,0.028,NA,7.288,7.288,14
521,Chicago,Bears,CHI,DST,NA,49,DST,robust,7.288,14,0.028,0,7.288,7.288,14
521,Chicago,Bears,CHI,DST,NA,49,DST,weighted,7.288,14,0.028,NA,7.288,7.288,14
522,Detroit,Lions,DET,DST,NA,49,DST,average,6.148,26,0.219,NA,6.148,6.148,26
522,Detroit,Lions,DET,DST,NA,49,DST,robust,6.148,26,0.219,0,6.148,6.148,26
522,Detroit,Lions,DET,DST,NA,49,DST,weighted,6.148,26,0.219,Inf,6.148,6.148,26
523,Green Bay,Packers,GBP,DST,NA,49,DST,average,6.918,18,0.155,NA,6.918,6.918,18
523,Green Bay,Packers,GBP,DST,NA,49,DST,robust,6.918,18,0.155,0,6.918,6.918,18
523,Green Bay,Packers,GBP,DST,NA,49,DST,weighted,6.918,18,0.155,Inf,6.918,6.918,18
524,Minnesota,Vikings,MIN,DST,NA,49,DST,average,7.528,12,0.153,NA,7.528,7.528,12
524,Minnesota,Vikings,MIN,DST,NA,49,DST,robust,7.528,12,0.153,0,7.528,7.528,12
524,Minnesota,Vikings,MIN,DST,NA,49,DST,weighted,7.528,12,0.153,Inf,7.528,7.528,12
525,Tampa Bay,Buccaneers,TBB,DST,NA,49,DST,average,6.252,25,0.167,NA,6.252,6.252,25
525,Tampa Bay,Buccaneers,TBB,DST,NA,49,DST,robust,6.252,25,0.167,0,6.252,6.252,25
525,Tampa Bay,Buccaneers,TBB,DST,NA,49,DST,weighted,6.252,25,0.167,NA,6.252,6.252,25
526,Atlanta,Falcons,ATL,DST,NA,49,DST,average,5.53,29,0.698,NA,5.53,5.53,29
526,Atlanta,Falcons,ATL,DST,NA,49,DST,robust,5.53,29,0.698,0,5.53,5.53,29
526,Atlanta,Falcons,ATL,DST,NA,49,DST,weighted,5.53,29,0.698,NA,5.53,5.53,29
527,Carolina,Panthers,CAR,DST,NA,49,DST,average,8.836,3,0.477,NA,8.836,8.836,3
527,Carolina,Panthers,CAR,DST,NA,49,DST,robust,8.836,3,0.477,0,8.836,8.836,3
527,Carolina,Panthers,CAR,DST,NA,49,DST,weighted,8.836,3,0.477,NA,8.836,8.836,3
528,Los Angeles,Rams,LAR,DST,NA,49,DST,average,6.022,27,0.339,NA,6.022,6.022,27
528,Los Angeles,Rams,LAR,DST,NA,49,DST,robust,6.022,27,0.339,0,6.022,6.022,27
528,Los Angeles,Rams,LAR,DST,NA,49,DST,weighted,6.022,27,0.339,Inf,6.022,6.022,27
529,New Orleans,Saints,NOS,DST,NA,49,DST,average,6.62,22,0.245,NA,6.62,6.62,22
529,New Orleans,Saints,NOS,DST,NA,49,DST,robust,6.62,22,0.245,0,6.62,6.62,22
529,New Orleans,Saints,NOS,DST,NA,49,DST,weighted,6.62,22,0.245,NA,6.62,6.62,22
530,San Francisco,49ers,SFO,DST,NA,49,DST,average,7.244,16,0.238,NA,7.244,7.244,16
530,San Francisco,49ers,SFO,DST,NA,49,DST,robust,7.244,16,0.238,0,7.244,7.244,16
530,San Francisco,49ers,SFO,DST,NA,49,DST,weighted,7.244,16,0.238,Inf,7.244,7.244,16
531,Baltimore,Ravens,BAL,DST,NA,49,DST,average,9.672,1,0.501,NA,9.672,9.672,1
531,Baltimore,Ravens,BAL,DST,NA,49,DST,robust,9.672,1,0.501,0,9.672,9.672,1
531,Baltimore,Ravens,BAL,DST,NA,49,DST,weighted,9.672,1,0.501,NA,9.672,9.672,1
532,Houston,Texans,HOU,DST,NA,49,DST,average,9.506,2,0.874,NA,9.506,9.506,2
532,Houston,Texans,HOU,DST,NA,49,DST,robust,9.506,2,0.874,0,9.506,9.506,2
532,Houston,Texans,HOU,DST,NA,49,DST,weighted,9.506,2,0.874,NA,9.506,9.506,2
4397,Roosevelt,Nix,PIT,RB,27,5,RB,average,0,119,NA,NA,0,0,19
4397,Roosevelt,Nix,PIT,RB,27,5,RB,robust,0,119,NA,0,0,0,19
4397,Roosevelt,Nix,PIT,RB,27,5,RB,weighted,0,120,NA,NA,0,0,19
4925,Drew,Brees,NOS,QB,40,18,QB,average,18.985,15,0.5675,2.269812768,17.4405,20.3295,5
4925,Drew,Brees,NOS,QB,40,18,QB,robust,18.985,15,0.5675,2.379573,17.4405,20.3295,5
4925,Drew,Brees,NOS,QB,40,18,QB,weighted,19.09827957,15,0.65311828,2.269812768,17.28,20.19147,5
5848,Tom,Brady,NEP,QB,42,19,QB,average,22.44,3,0.6775,0.989949494,21.71,22.97,2
5848,Tom,Brady,NEP,QB,42,19,QB,robust,22.44,3,0.6775,1.03782,21.71,22.97,2
5848,Tom,Brady,NEP,QB,42,19,QB,weighted,22.37978495,3,0.582473118,0.989949494,21.64,22.88860465,2
6589,Josh,McCown,PHI,QB,40,17,QB,average,0.966,38,0.056,0.683065151,0.0483,0.9177,10
6589,Josh,McCown,PHI,QB,40,17,QB,robust,0.966,38,0.056,0.7160958,0.0483,0.9177,10
6589,Josh,McCown,PHI,QB,40,17,QB,weighted,0.966,39,0.05411828,0.683065151,0,0.861537209,10
6997,Jason,Witten,DAL,TE,37,16,TE,average,5.13,38,0.45,0.579827561,4.761,5.499,13
6997,Jason,Witten,DAL,TE,37,16,TE,robust,5.13,38,0.45,0.607866,4.761,5.499,13
6997,Jason,Witten,DAL,TE,37,16,TE,weighted,5.160860215,38,0.457526882,0.579827561,4.72,5.46374,13
7391,Eli,Manning,NYG,QB,38,15,QB,average,12.59,31,9.9195,1.923330445,11.266,13.714,9
7391,Eli,Manning,NYG,QB,38,15,QB,robust,12.59,31,9.9195,2.016336,11.266,13.714,9
7391,Eli,Manning,NYG,QB,38,15,QB,weighted,12.68483871,32,10.02182796,1.923330445,11.13,13.59704,9
7393,Larry,Fitzgerald,ARI,WR,36,15,WR,average,9.86,51,0.1475,0.622253967,9.464,10.256,15
11232,DeAndre,Hopkins,HOU,WR,27,6,WR,robust,20.475,1,1.115,0.778365,20.0025,20.9475,1
11232,DeAndre,Hopkins,HOU,WR,27,6,WR,weighted,20.51451613,1,1.07172043,0.74246212,19.95,20.90235,1
7394,Philip,Rivers,LAC,QB,38,15,QB,average,18.395,17,0.325,0.572756493,17.9305,18.6595,6
7394,Philip,Rivers,LAC,QB,38,15,QB,robust,18.395,17,0.325,0.600453,17.9305,18.6595,6
7394,Philip,Rivers,LAC,QB,38,15,QB,weighted,18.41795699,17,0.32327957,0.572756493,17.89,18.62467,6
7401,Ben,Roethlisberger,PIT,QB,37,15,QB,average,19.44,12,0.4,1.202081528,18.575,20.105,5
7401,Ben,Roethlisberger,PIT,QB,37,15,QB,robust,19.44,12,0.4,1.26021,18.575,20.105,5
7401,Ben,Roethlisberger,PIT,QB,37,15,QB,weighted,19.49645161,12,0.339784946,1.202081528,18.49,20.0319,5
7422,Ben,Watson,NEP,TE,39,15,TE,average,0,95,NA,NA,0,0,16
7422,Ben,Watson,NEP,TE,39,15,TE,robust,0,95,NA,0,0,0,16
7422,Ben,Watson,NEP,TE,39,15,TE,weighted,0,96,NA,NA,0,0,16
7480,Matt,Schaub,ATL,QB,38,15,QB,average,0.396,51,0.042,0.280014285,0.0198,0.3762,10
7480,Matt,Schaub,ATL,QB,38,15,QB,robust,0.396,51,0.042,0.2935548,0.0198,0.3762,10
7480,Matt,Schaub,ATL,QB,38,15,QB,weighted,0.396,53,0.042,0.280014285,0,0.353176744,10
7813,Alex,Smith,WAS,QB,35,14,QB,average,0,56,0,NA,0,0,10
7813,Alex,Smith,WAS,QB,35,14,QB,robust,0,56,0,0,0,0,10
7813,Alex,Smith,WAS,QB,35,14,QB,weighted,0,58,0,NA,0,0,10
7836,Aaron,Rodgers,GBP,QB,36,14,QB,average,19.01,14,0.2975,2.234457429,17.388,20.232,5
7836,Aaron,Rodgers,GBP,QB,36,14,QB,robust,19.01,14,0.2975,2.342508,17.388,20.232,5
7836,Aaron,Rodgers,GBP,QB,36,14,QB,weighted,19.11387097,14,0.328548387,2.234457429,17.23,20.09612,5
7877,Frank,Gore,BUF,RB,36,14,RB,average,5.91,61,0.335,0.919238816,5.325,6.495,16
